"R_KD","B_KD","R_SIG_STR.","B_SIG_STR.","R_TOTAL_STR.","B_TOTAL_STR.","R_SUB_ATT","B_SUB_ATT","R_CTRL","B_CTRL","R_HEAD","B_HEAD","R_BODY","B_BODY","R_DISTANCE","B_DISTANCE","win_by","Fight_type","Winner","R_height_cm","R_reach_in_cm","R_stance","R_age","B_height_cm","B_reach_in_cm","B_stance","B_age","R_fighter","B_fighter"
0,0,0.594059405940594,0.5625,0.628318584070796,0.594202898550725,1,0,1.25,1.05,0.512820512820513,0.4375,0.823529411764706,1,0.55952380952381,0.543859649122807,"Submission","Welterweight Bout","Jake Matthews",180.34,185.42,"Orthodox",29,175.26,180.34,"Orthodox",29,"Jake Matthews","Darrius Flowers"
1,1,0.433333333333333,0.5390625,0.43801652892562,0.562962962962963,0,0,1.21666666666667,0.366666666666667,0.340659340659341,0.5,0.571428571428571,0.62962962962963,0.39622641509434,0.480769230769231,"KO/TKO","Welterweight Bout","Uros Medic",185.42,190.5,"Switch",31,185.42,180.34,"Southpaw",30,"Matthew Semelsberger","Uros Medic"
0,2,0.330827067669173,0.508064516129032,0.328358208955224,0.518796992481203,0,0,0.0833333333333333,1.43333333333333,0.243243243243243,0.442105263157895,0.736842105263158,0.631578947368421,0.333333333333333,0.504950495049505,"KO/TKO","Welterweight Bout","Jonny Parsons",185.42,187.96,"Southpaw",36,175.26,175.26,"Orthodox",32,"Danny Roberts","Jonny Parsons"
0,0,0.365671641791045,0.539823008849557,0.386666666666667,0.627450980392157,0,0,4.2,1.5,0.0886075949367089,0.391891891891892,0.741935483870968,0.826086956521739,0.319327731092437,0.483870967741935,"Decision - Unanimous","Lightweight Bout","Fares Ziam",185.42,195.58,"Orthodox",35,185.42,190.5,"Orthodox",27,"Jai Herbert","Fares Ziam"
0,0,0.325581395348837,0.342857142857143,0.325581395348837,0.347517730496454,0,0,0.1,0.216666666666667,0.133858267716535,0.233333333333333,0.490909090909091,0.25,0.328638497652582,0.338129496402878,"Decision - Split","Bantamweight Bout","Daniel Marcos",172.72,175.26,"Orthodox",38,170.18,175.26,"Orthodox",31,"Davey Grant","Daniel Marcos"
1,0,0.541284403669725,0.389830508474576,0.604166666666667,0.519480519480519,2,0,7.63333333333333,1.5,0.45679012345679,0.333333333333333,0.833333333333333,0.833333333333333,0.39344262295082,0.358490566037736,"Decision - Unanimous","Featherweight Bout","Lerone Murphy",175.26,185.42,"Orthodox",32,177.8,185.42,"Orthodox",29,"Lerone Murphy","Josh Culibao"
1,1,0.567567567567568,0.384105960264901,0.620689655172414,0.424581005586592,0,0,1.78333333333333,2.91666666666667,0.422222222222222,0.335820895522388,0.555555555555556,0.7,0.577235772357724,0.368055555555556,"Decision - Unanimous","Featherweight Bout","Nathaniel Wood",167.64,175.26,"Orthodox",30,180.34,187.96,"Orthodox",33,"Nathaniel Wood","Andre Fili"
1,0,0.722222222222222,0.266666666666667,0.722222222222222,0.266666666666667,0,0,0.0833333333333333,0,0.705882352941177,0.153846153846154,1,1,0.7,0.266666666666667,"KO/TKO","Heavyweight Bout","Tom Aspinall",195.58,198.12,"Orthodox",31,190.5,198.12,"Orthodox",38,"Tom Aspinall","Marcin Tybura"
0,0,0.48780487804878,0.6,0.534653465346535,0.659574468085106,1,0,2.93333333333333,1.78333333333333,0.46969696969697,0.5,0.533333333333333,0.666666666666667,0.3125,0.555555555555556,"KO/TKO","Middleweight Bout","Paul Craig",190.5,193.04,"Orthodox",36,185.42,198.12,"Southpaw",34,"Paul Craig","Andre Muniz"
0,0,0.434782608695652,0.56,0.483333333333333,0.653061224489796,0,1,3.15,1.43333333333333,0.32,0.408163265306122,0.545454545454545,0.75,0.434782608695652,0.528571428571429,"Submission","Lightweight Bout","Joel Alvarez",177.8,185.42,"Orthodox",31,190.5,195.58,"Orthodox",31,"Marc Diakiese","Joel Alvarez"
0,0,0.608974358974359,0.266666666666667,0.616352201257862,0.272058823529412,0,0,0,1.28333333333333,0.393617021276596,0.184873949579832,0.8,0.666666666666667,0.609271523178808,0.257575757575758,"Decision - Unanimous","Heavyweight Bout","Mick Parkin",193.04,200.66,"Orthodox",28,190.5,195.58,"Orthodox",28,"Mick Parkin","Jamal Pogues"
0,0,0.412621359223301,0.357142857142857,0.416267942583732,0.36,0,0,0.8,0,0.335403726708075,0.220588235294118,0.766666666666667,0.571428571428571,0.41,0.354166666666667,"Decision - Unanimous","Lightweight Bout","Chris Duncan",177.8,180.34,"Orthodox",30,175.26,172.72,"Orthodox",29,"Chris Duncan","Yanal Ashmouz"
0,1,0.388888888888889,0.6,0.370967741935484,0.6,1,0,0.916666666666667,0.2,0.275,0.470588235294118,0.888888888888889,0.777777777777778,0.388888888888889,0.666666666666667,"Submission","Flyweight Bout","Jafel Filho",170.18,172.72,"Orthodox",30,167.64,167.64,"Orthodox",35,"Jafel Filho","Daniel Barez"
2,0,0.556701030927835,0.345679012345679,0.596491228070175,0.58695652173913,0,0,5.16666666666667,0.0333333333333333,0.506493506493506,0.232142857142857,0.75,0.5,0.582278481012658,0.341772151898734,"Decision - Unanimous","Middleweight Bout","Makhmud Muradov",187.96,190.5,"Orthodox",34,182.88,182.88,"Southpaw",34,"Makhmud Muradov","Bryan Barberena"
